column,score
full_sq,0.564975693
young_female,0.299421019
apartment_fund_sqm,0.298535028
7_14_female,0.298304492
0_17_female,0.29822008
raion_popul,0.292731769
0_13_all,0.291849987
0_13_male,0.291078192
0_6_female,0.290160665
young_all,0.289562376
0_13_female,0.288385348
work_male,0.287877952
work_female,0.287222701
ID_metro,0.285928926
0_17_male,0.285921117
work_all,0.284503515
young_male,0.284281331
green_zone_part,0.28426366
ekder_all,0.284048112
0_6_male,0.283929523
7_14_male,0.283786192
children_preschool,0.282931146
ekder_female,0.282122379
0_17_all,0.281466118
0_6_all,0.279632301
7_14_all,0.277607667
ekder_male,0.277555483
children_school,0.277192359
ID_railroad_station_walk,0.274304387
product_type,0.272751952
16_29_all,0.265383345
area_m,0.265062594
16_29_male,0.264767285
full_all,0.261443527
female_f,0.259753901
16_29_female,0.259751228
male_f,0.256442126
cafe_count_5000_price_500,0.256083264
indust_part,0.255551937
cafe_count_5000_price_1000,0.252814334
timestamp_r,0.252475462
cafe_count_5000,0.251339782
trc_sqm_3000,0.251116598
ID_railroad_station_avto,0.250998693
prom_part_calibration,0.250962375
cafe_count_3000_price_500,0.250765294
cafe_count_5000_price_1500,0.249135996
trc_count_5000,0.24841039
office_sqm_5000,0.248350599
cafe_count_3000,0.247950398
sport_count_3000,0.247670992
kremlin_km,0.247002472
office_count_5000,0.246722007
cafe_count_3000_price_1500,0.244490512
cafe_count_5000_price_2500,0.242156705
cafe_count_calibration,0.240423003
trc_sqm_5000,0.238431266
cafe_sum_5000_max_price_avg,0.236428374
cafe_sum_5000_min_price_avg,0.235507146
cafe_avg_price_5000,0.23484556
sport_count_5000,0.234722968
cafe_count_5000_na_price,0.23448401
ID_big_road2,0.233886205
big_church_count_5000,0.232512446
cafe_count_3000_price_2500,0.229083339
sport_objects_raion,0.228457201
bulvar_ring_km,0.227938459
cafe_count_3000_price_1000,0.226231636
ID_big_road1,0.225706721
cafe_count_2000,0.225621409
sadovoe_km,0.224168493
oil_chemistry_km,0.222291579
trc_count_3000,0.221458648
trc_sqm_2000,0.219803714
office_count_calibration,0.218959185
cafe_count_1500,0.217724506
office_count_3000,0.216700188
church_count_5000,0.216103068
zd_vokzaly_avto_km,0.215775462
sport_count_2000,0.215253105
ttk_km,0.214145826
cafe_count_1000,0.213799048
mkad_km,0.213201813
cafe_count_3000_na_price,0.213165222
leisure_count_calibration,0.212594248
office_sqm_3000,0.212401665
cafe_avg_price_2000,0.212329898
nuclear_reactor_km,0.212139705
cafe_sum_2000_min_price_avg,0.210207616
cafe_count_2000_price_500,0.210050925
cafe_avg_price_3000,0.209429936
mosque_km,0.208937183
incineration_km,0.208809545
theater_km,0.208066977
cafe_count_1500_price_1500,0.207683441
cafe_sum_3000_min_price_avg,0.207324537
cafe_sum_3000_max_price_avg,0.206586929
hospice_morgue_km,0.205895277
water_treatment_km,0.205800022
thermal_power_plant_km,0.205285995
cafe_count_2000_price_1500,0.205190976
cafe_count_2000_price_1000,0.204551309
sport_count_1500,0.2041747
office_sqm_2000,0.202503513
museum_km,0.201150907
office_km,0.200889575
market_count_calibration,0.199621012
office_count_2000,0.199247896
trc_count_calibration,0.199072593
exhibition_km,0.198423697
kindergarten_km,0.198318298
detention_facility_km,0.197618958
metro_min_walk,0.197602154
metro_km_walk,0.196774385
stadium_km,0.196146934
big_church_count_calibration,0.195690267
ts_km,0.195410391
cafe_count_1500_price_1000,0.194733431
power_transmission_line_km,0.194634137
cafe_count_1500_price_500,0.194071522
metro_km_avto,0.193736138
workplaces_km,0.193658974
prom_part_3000,0.193172274
railroad_station_avto_min,0.192964745
university_km,0.192931829
trc_sqm_1500,0.192635332
prom_part_5000,0.192238599
radiation_km,0.191764222
school_education_centers_raion,0.191373467
basketball_km,0.191352055
railroad_station_avto_km,0.190916822
big_market_km,0.190774169
preschool_km,0.189277071
bus_terminal_avto_km,0.188667462
cafe_sum_2000_max_price_avg,0.188664187
green_part_2000,0.18865791
shopping_centers_km,0.18832887
green_part_5000,0.188260886
preschool_education_centers_raion,0.187747875
industrial_km,0.187049204
ice_rink_km,0.186016785
green_part_3000,0.185912639
park_km,0.185441356
railroad_km,0.185124443
catering_km,0.185074618
metro_min_avto,0.184638122
school_km,0.183812705
additional_education_km,0.183225958
green_zone_km,0.18265171
railroad_station_walk_km,0.182329314
big_road1_km,0.181678432
railroad_station_walk_min,0.180228586
green_part_calibration,0.180035154
big_road2_km,0.179380369
market_shop_km,0.179363742
church_synagogue_km,0.179177696
public_healthcare_km,0.178548473
cemetery_km,0.178390882
office_count_1500,0.177544353
cafe_count_2000_na_price,0.177162628
fitness_km,0.177151469
trc_count_2000,0.176627213
church_count_3000,0.175823091
green_part_1000,0.175421043
cafe_avg_price_calibration,0.175102206
swim_pool_km,0.174940181
office_sqm_1500,0.170909094
big_church_km,0.169652569
cafe_count_2000_price_2500,0.168110551
office_raion,0.167873258
sport_count_calibration,0.167534305
cafe_count_5000_price_4000,0.167067204
green_part_1500,0.166235674
big_church_count_3000,0.166009589
leisure_count_5000,0.165306251
water_km,0.162666101
ID_bus_terminal,0.161279861
trc_count_1500,0.161235467
public_transport_station_min_walk,0.160598725
cafe_count_1000_price_1000,0.159834991
public_transport_station_km,0.159600422
cafe_count_1000_price_1500,0.159573733
prom_part_2000,0.157733616
mosque_count_calibration,0.155643331
market_count_5000,0.153443757
cafe_count_1500_price_2500,0.1513477
shopping_centers_raion,0.149817426
