,column,score
2,product_type,0.97
114,additional_education_km,0.895
67,incineration_km,0.885
85,big_road1_1line,0.88
63,green_zone_km,0.865
122,catering_km,0.85
21,incineration_raion,0.825
263,net_capital_export,0.76
20,thermal_power_plant_raion,0.735
55,ID_metro,0.735
141,sport_count_500,0.7
309,sub_area_code,0.665
182,market_count_1500,0.65
87,ID_big_road2,0.62
136,cafe_count_500_price_high,0.615
14,sport_objects_raion,0.595
84,ID_big_road1,0.575
168,trc_sqm_1500,0.57
258,balance_trade,0.565
101,market_shop_km,0.565
191,cafe_sum_2000_max_price_avg,0.55
120,museum_km,0.545
23,radiation_raion,0.51
176,cafe_count_1500_price_high,0.51
89,railroad_1line,0.505
137,big_church_count_500,0.495
103,swim_pool_km,0.485
251,market_count_5000,0.48
26,nuclear_reactor_raion,0.43
113,office_km,0.415
162,market_count_1000,0.41
179,mosque_count_1500,0.405
94,oil_chemistry_km,0.395
300,rent_price_1room_eco,0.38
24,railroad_terminal_raion,0.375
261,eurrub,0.375
291,childbirth,0.375
99,ts_km,0.36
272,deposits_value,0.36
127,trc_count_500,0.355
269,micex,0.355
111,workplaces_km,0.35
230,prom_part_5000,0.35
5,green_zone_part,0.31
57,metro_km_avto,0.305
166,office_sqm_1500,0.3
276,mortgage_growth,0.3
78,mkad_km,0.295
0,full_sq,0.295
121,exhibition_km,0.29
119,theater_km,0.28
156,cafe_count_1000_price_high,0.275
1,floor,0.275
35,work_male,0.27
236,cafe_sum_5000_min_price_avg,0.27
163,green_part_1500,0.265
10,school_education_centers_raion,0.26
267,average_provision_of_build_contract_moscow,0.26
199,cafe_count_2000_price_high,0.255
202,mosque_count_2000,0.255
105,stadium_km,0.25
288,invest_fixed_capital_per_cap,0.25
60,kindergarten_km,0.235
234,trc_sqm_5000,0.235
22,oil_chemistry_raion,0.235
86,big_road2_km,0.23
3,area_m,0.23
192,cafe_avg_price_2000,0.23
140,leisure_count_500,0.23
56,metro_min_avto,0.23
124,prom_part_500,0.225
159,mosque_count_1000,0.22
254,gdp_quart_growth,0.215
299,rent_price_2room_eco,0.21
12,healthcare_centers_raion,0.2
211,trc_sqm_3000,0.2
290,pop_natural_increase,0.195
11,school_education_centers_top_20_raion,0.19
70,ID_railroad_station_walk,0.185
317,mosque_count_calibration,0.185
273,deposits_growth,0.185
266,average_provision_of_build_contract,0.18
206,green_part_3000,0.18
289,invest_fixed_assets,0.175
6,indust_part,0.175
238,cafe_avg_price_5000,0.17
264,gdp_annual,0.17
83,big_road1_km,0.17
295,rent_price_3room_bus,0.17
190,cafe_sum_2000_min_price_avg,0.165
183,green_part_2000,0.165
203,leisure_count_2000,0.16
76,water_km,0.16
117,church_synagogue_km,0.155
237,cafe_sum_5000_max_price_avg,0.15
13,university_top_20_raion,0.145
104,ice_rink_km,0.145
161,sport_count_1000,0.135
146,office_sqm_1000,0.135
126,office_sqm_500,0.135
65,water_treatment_km,0.13
97,power_transmission_line_km,0.13
253,gdp_quart,0.13
281,fixed_basket,0.13
157,big_church_count_1000,0.13
93,ID_bus_terminal,0.125
277,mortgage_rate,0.125
222,cafe_count_3000_price_high,0.125
91,ID_railroad_terminal,0.12
29,male_f,0.115
280,salary_growth,0.115
58,metro_min_walk,0.115
260,usdrub,0.11
275,mortgage_value,0.11
310,ecology_code,0.11
320,market_count_calibration,0.11
69,railroad_station_walk_min,0.105
30,female_f,0.1
142,market_count_500,0.1
77,water_1line,0.1
257,gdp_deflator,0.1
125,office_count_500,0.1
139,mosque_count_500,0.095
25,big_market_raion,0.095
187,trc_count_2000,0.095
123,green_part_500,0.09
321,cafe_avg_price_calibration,0.09
15,additional_education_raion,0.09
180,leisure_count_1500,0.09
51,16_29_female,0.085
8,preschool_education_centers_raion,0.085
132,cafe_count_500_price_1000,0.085
246,big_church_count_5000,0.085
28,full_all,0.08
186,office_sqm_2000,0.08
228,market_count_3000,0.075
34,work_all,0.075
305,turnover_catering_per_cap,0.07
188,trc_sqm_2000,0.07
207,prom_part_3000,0.07
68,railroad_station_walk_km,0.07
218,cafe_count_3000_price_1000,0.07
248,mosque_count_5000,0.07
205,market_count_2000,0.065
148,trc_sqm_1000,0.065
16,culture_objects_top_25,0.065
278,income_per_cap,0.06
107,hospice_morgue_km,0.06
38,ekder_male,0.06
259,balance_trade_growth,0.06
216,cafe_count_3000_na_price,0.06
294,rent_price_4+room_bus,0.06
110,university_km,0.055
74,public_transport_station_km,0.055
164,prom_part_1500,0.055
217,cafe_count_3000_price_500,0.055
41,0_6_male,0.05
301,load_of_teachers_school_per_teacher,0.05
75,public_transport_station_min_walk,0.05
73,ID_railroad_station_avto,0.05
95,nuclear_reactor_km,0.05
323,prom_part_calibration,0.045
102,fitness_km,0.045
92,bus_terminal_avto_km,0.045
39,ekder_female,0.045
88,railroad_km,0.045
100,big_market_km,0.045
59,metro_km_walk,0.04
322,green_part_calibration,0.04
184,prom_part_2000,0.035
214,cafe_sum_3000_max_price_avg,0.035
318,leisure_count_calibration,0.035
4,raion_popul,0.035
297,rent_price_1room_bus,0.035
144,prom_part_1000,0.035
108,detention_facility_km,0.035
143,green_part_1000,0.035
167,trc_count_1500,0.03
181,sport_count_1500,0.03
138,church_count_500,0.03
109,public_healthcare_km,0.03
27,detention_facility_raion,0.03
18,shopping_centers_raion,0.03
268,rts,0.03
311,timestamp_r,0.025
66,cemetery_km,0.025
71,railroad_station_avto_km,0.025
112,shopping_centers_km,0.025
160,leisure_count_1000,0.025
247,church_count_5000,0.025
