,column,mask,ranking
18,product_type,False,34
29,children_preschool,False,33
28,leisure_count_3000,False,32
10,cafe_count_1500_price_high,False,31
14,trc_sqm_3000,False,30
30,indust_part,False,29
12,big_road1_km,False,28
26,mosque_count_3000,False,27
23,prom_part_5000,False,26
11,power_transmission_line_km,False,25
34,bulvar_ring_km,False,24
9,balance_trade_growth,False,23
25,thermal_power_plant_km,False,22
16,young_female,False,21
33,area_m,False,20
15,cafe_count_3000_price_1000,False,19
31,green_zone_part,False,18
8,culture_objects_top_25,False,17
19,ID_metro,False,16
35,kremlin_km,False,15
17,apartment_fund_sqm,False,14
21,floor,False,13
7,ttk_km,False,12
32,raion_popul,False,11
3,kindergarten_km,False,10
24,metro_min_avto,False,9
27,green_part_5000,False,8
1,timestamp_r,False,7
2,public_transport_station_km,False,6
13,cafe_count_1500_price_1500,False,5
0,swim_pool_km,False,4
20,ttk_km,False,3
22,railroad_km,False,2
6,office_sqm_5000,True,1
5,full_sq,True,1
4,cafe_count_5000_price_2500,True,1
36,cafe_count_calibration,True,1
